,Pays,TIME_PERIOD,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,Total des abonnements au téléphone cellulaire mobile,Total des recettes des télécommunications USD,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,Total des lignes d'accès téléphoniques,Total des voies d'accès de communication,Recettes_prédites
0,Allemagne,2005,40200000.0,79200000.0,84125000000.0,-0.11001300981240958,0.2289906794357112,0.01995264013506892,53578441840.390915
1,Allemagne,2006,39947000.0,85652000.0,82875000000.0,-0.0848407599409455,0.2184679206705871,0.046968250989966334,59249188626.15046
2,Allemagne,2007,53433050.0,97151000.0,87534246575.0,-0.03878194658283839,0.19901419931230546,0.08666585193599052,69431612006.54965
3,Allemagne,2008,60680000.0,107245000.0,91617647059.0,-0.013977703583485749,0.16186759306915652,0.1149725605143411,74875249843.2619
4,Allemagne,2009,60483000.0,108255000.0,83888888889.0,-0.07485177190310668,0.13420133039887042,0.11900933859559489,62179820263.73518
5,Allemagne,2010,60249000.0,108846000.0,78933333333.0,-0.09227256703626452,0.10795782359910308,0.11877263734629513,58397694282.53888
6,Allemagne,2011,63786000.0,114125000.0,80277777778.0,-0.0668605814613283,0.07819264385250707,0.13022509639912108,63683054865.43095
7,Allemagne,2012,60256490.0,113158000.0,74358974359.0,-0.08253560885750334,0.04987839336000448,0.12407086391732765,60131424682.893456
8,Allemagne,2013,59412000.0,115225000.0,76000000000.0,-0.06542216718295893,0.009872188684030668,0.12385585689916727,63401882022.73224
9,Allemagne,2014,55707000.0,112629000.0,75733333333.0,-0.027064453102698328,-0.04069903483242919,0.1096804619207633,70720911853.18303
10,Allemagne,2015,54491000.0,113825000.0,63777777778.0,-0.06286498624043911,-0.09225632677400107,0.10608219963253755,62902741227.406
11,Allemagne,2016,54349000.0,129870000.0,63222222222.0,-0.053275557727566036,-0.1370520066576619,0.1440429601628738,65339192614.24795
12,Allemagne,2017,54720000.0,135043000.0,63707865169.0,-0.043829791042123104,-0.1931170399711745,0.1509671172537531,67058160495.69599
13,Allemagne,2018,52954380.0,136958000.0,67764705882.0,-0.01059319939401046,-0.255802818424725,0.14659507059679022,73431225829.63654
14,Australie,2005,8504000.0,18420000.0,26613740458.0,-0.23632284678645937,-0.17776254592300145,-0.24415831609616873,19537995803.72696
15,Australie,2007,10150000.0,21260000.0,30833333333.0,-0.2013575906649629,-0.18283375496643475,-0.23190993995744696,26978863462.16487
16,Australie,2008,9990000.0,22120000.0,30805042017.0,-0.21414431599290776,-0.18846843168136063,-0.22929580540543215,24348220708.34072
17,Australie,2009,10580000.0,24220000.0,29243750000.0,-0.23062537309903672,-0.19325790688904765,-0.22485139772847176,20995163482.326782
18,Australie,2010,10970000.0,22540000.0,37210091743.0,-0.21710319037674355,-0.19832911593248093,-0.2295637690838847,23665519507.571228
19,Australie,2011,11435000.0,24415000.0,43508247423.0,-0.18717444527582278,-0.17255046996169499,-0.21922145377714558,30231441523.629288
20,Australie,2012,11810000.0,24640000.0,43289690722.0,-0.16294223621759318,-0.18043901736259124,-0.21944881689825685,35187076286.560524
21,Australie,2013,11845000.0,25000000.0,39787019231.0,-0.14035716121825462,-0.18924319972966294,-0.21944340349061134,39800530526.44375
22,Australie,2014,11485000.0,25415000.0,37022972973.0,-0.13534252632123148,-0.19572307795182772,-0.21852312419087533,40813027971.649414
23,Australie,2015,9255000.0,26160000.0,31518421053.0,-0.14458277706381154,-0.20072385353632444,-0.21685308793223673,38901525010.84469
24,Australie,2016,9300000.0,27005000.0,32071481481.0,-0.10865555161847996,-0.20100558737207075,-0.21296626124276347,46407960268.44034
25,Australie,2017,9320000.0,27870000.0,34269230769.0,-0.06185279747259847,-0.2037524922705971,-0.20966949598665036,56135995593.40494
26,Autriche,2005,3774105.0,8369251.0,7731356140.0,-0.2912891692439102,-0.27798920303613606,-0.2949605646537951,6500347441.864876
27,Autriche,2006,3880328.0,9254265.0,7556871945.0,-0.29162609324927063,-0.279794440762064,-0.2923649223022973,6469959375.615608
28,Autriche,2007,3695274.0,9855352.0,7830136986.0,-0.2839823202751597,-0.2816902418294926,-0.2905224717168532,8074896037.46096
29,Autriche,2008,3552199.0,10605967.0,7890430321.0,-0.29704010447481705,-0.2825728435034268,-0.2881976567364524,5413971576.684128
30,Autriche,2009,3641692.0,11434330.0,7058393786.0,-0.2984172553657295,-0.2828185576682729,-0.2859366495919693,5172141242.450363
31,Autriche,2010,3896666.0,12241085.0,6336320681.0,-0.2918554779222176,-0.281186980678699,-0.28304603877797935,6597354946.855789
32,Autriche,2011,4167626.0,13022578.0,6286337831.0,-0.29812163945393244,-0.2813085488288235,-0.2806488736043964,5347747928.179138
33,Autriche,2012,4243025.0,13588363.0,5707720823.0,-0.29804066806476476,-0.2822776709637154,-0.2791048993695987,5388570436.946701
34,Autriche,2013,4061464.0,13272022.0,5546569014.0,-0.2988672151433756,-0.28315968099659455,-0.2798457242058862,5197119344.527649
35,Autriche,2014,3886237.0,12952605.0,5247704267.0,-0.2974326366268258,-0.2845649271092217,-0.2806446376129138,5468764882.986465
36,Autriche,2015,4514876.0,13470623.0,4374129111.0,-0.29743839028393926,-0.28502063158854135,-0.27905481993547016,5495957356.198914
37,Autriche,2016,5192019.0,14263780.0,4566473676.0,-0.29938949980058416,-0.28505096023595944,-0.276731645217586,5138059778.023941
38,Autriche,2017,5648791.0,14936336.0,4675671761.0,-0.2981041408853215,-0.2858181214706966,-0.275091393527813,5431249743.483948
39,Autriche,2018,7228749.0,16530441.0,4778331993.0,-0.2956941031643098,-0.28636203681398836,-0.2708533124698534,6009873425.197548
40,Belgique,2005,6042295.0,9604695.0,11413135132.0,-0.28037548858963823,-0.2624549064539897,-0.28668006745051894,9024377047.337082
41,Belgique,2006,5942162.0,9847375.0,10249132698.0,-0.28215122430723316,-0.2633390294906369,-0.2849673166988535,8685037994.785805
42,Belgique,2007,6146996.0,10738121.0,11056698138.0,-0.2794569300621269,-0.2641353079172985,-0.28173440529262295,9300932064.023712
43,Belgique,2008,6653649.0,11822190.0,11636902315.0,-0.2730080241239901,-0.2668272183710872,-0.278649764415099,10677970558.062492
44,Belgique,2009,6739177.0,11598724.0,10902752171.0,-0.2753493025930575,-0.2672874587651623,-0.2788790411758129,10186098576.623192
45,Belgique,2010,6709887.0,12237680.0,10541170598.0,-0.2755865375845384,-0.26710752945096294,-0.27646739243007445,10185856421.995361
46,Belgique,2011,6045206.0,12495934.0,10753957503.0,-0.2679165354712808,-0.26695970370734684,-0.2752781642116944,11796862769.80223
47,Belgique,2012,5412083.0,12313375.0,9685140362.0,-0.2723245621549886,-0.2662670610721646,-0.27523793988618445,10890450956.696983
48,Belgique,2013,4984796.77064239,12314015.0,9730227813.0,-0.24681437787843838,-0.26624167685356387,-0.27486075800178,16174837255.271332
49,Belgique,2014,5037310.0,12734724.0,9385408479.0,-0.2619872878760265,-0.2662496921811908,-0.2732301773647657,13068484699.304169
50,Belgique,2015,4746857.0,12774090.0,7978604112.0,-0.273892306965345,-0.2664741495281299,-0.27286942787926916,10611575956.449142
51,Belgique,2016,4209724.0,12550821.0,8049617313.0,-0.2681800177546966,-0.2674181973516404,-0.27325114349257673,11779361750.106949
52,Belgique,2017,3063726.0,11961089.0,8114711785.0,-0.2643673865285531,-0.26918566865688653,-0.2748928649225255,12523857099.356926
53,Belgique,2018,2848620.0,11916735.0,8547517657.0,-0.2598733112847993,-0.2729944565557243,-0.27540919303705,13418006618.830574
54,Canada,2005,3820396.0,17016600.0,28515702479.0,-0.1870335561645239,-0.05092597307001968,-0.20798551749662078,31288776895.515297
55,Canada,2006,4203012.0,18749100.0,31916814159.0,-0.1431219968818278,-0.04960182404201209,-0.20082619115080536,40522053945.18939
56,Canada,2007,4462772.0,20277400.0,35541121495.0,-0.09900309118779475,-0.04905244306230682,-0.19490380409165367,49768651419.6396
57,Canada,2008,4817000.0,22092500.0,37639065421.0,0.004051898149065656,-0.04895383621979561,-0.18997191905621547,71183591941.90422
58,Canada,2009,5028000.0,23811900.0,35980438596.0,-0.1167003744298222,-0.0567860368535426,-0.1860050551347034,46232487974.13431
59,Canada,2010,5416058.0,25825400.0,40440776699.0,-0.08396793573787836,-0.06120925807475942,-0.17997830028285017,53092899127.48031
60,Canada,2011,5805926.0,26844273.0,43143939394.0,-0.04955602179548179,-0.06392798958971116,-0.17649680249083416,60261731729.10013
61,Canada,2012,5278825.0,27720609.0,43942000000.0,-0.04033622216819701,-0.07052667497041015,-0.17429277416852373,62168635359.39706
62,Canada,2013,4698557.0,28363793.0,43516504854.0,-0.0699706388244047,-0.08196392767967493,-0.17365427627025543,55975567039.54051
63,Canada,2014,4171691.0,28788935.0,41759887944.0,-0.07489029183196942,-0.08925586142330304,-0.17260383429038706,54930350453.7065
64,Canada,2015,4188955.0,29765396.0,37344910427.0,-0.08346007003307909,-0.10039461713359463,-0.17062792425955445,53122887508.13927
65,Canada,2016,4125748.0,30751965.0,36644738373.0,-0.06853424845246156,-0.10683605277387181,-0.1684559757909513,56210487384.14018
66,Canada,2017,3941143.0,31692514.0,38708467173.0,-0.051677173542348936,-0.11649952333996971,-0.1663126507152738,59675641643.49243
67,Canada,2018,3799594.0,33211401.0,40846759316.0,-0.045005404586530115,-0.12533187909061605,-0.1628255987670135,61066022917.25844
68,Corée,2005,662065.0,38342323.0,39897760028.0,-0.16901395106598774,0.002549236045086896,-0.12574493110475685,36995098974.22163
69,Corée,2006,538332.0,40197115.0,44898644728.0,-0.13875832088310155,0.005352755357906485,-0.11963855585325352,43392662539.16275
70,Corée,2007,871624.0,43497541.0,48869857736.0,-0.11730786266499306,0.005508878162985294,-0.10878850080321947,48045032856.0137
71,Corée,2008,909182.0,45606984.0,44193482147.0,-0.13894346859209986,-0.008556908973717053,-0.10371110337027008,43576770619.68605
72,Corée,2009,980026.0,47944222.0,39926938830.0,-0.1718252398871566,-0.03731852462400119,-0.10062582100394012,36645476399.60625
73,Corée,2010,1001147.0,50767241.0,45282105600.0,-0.17697132761012965,-0.04882023803488472,-0.09304961896215959,35654417817.649414
74,Corée,2011,1017365.0,52506793.0,44060309125.0,-0.14522683301198655,-0.057849567996793076,-0.08844131495532387,42251920827.226265
75,Corée,2012,1582461.0,53624427.0,43943824514.0,-0.11517707374383884,-0.06307968901027908,-0.08539529332794293,48493194187.80503
76,Corée,2013,2052119.0,54680840.0,46566561629.0,-0.14033453579593616,-0.07210597624676136,-0.08308999638880805,43275087877.78171
77,Corée,2014,2979272.0,57290356.0,49816897128.0,-0.13392355986419824,-0.08170105592423185,-0.07662153995352741,44665359489.49211
78,Corée,2015,3102518.0,58935081.0,47423176208.0,-0.17108190809521936,-0.09012234792183256,-0.07155353207613915,37023458501.09216
79,Corée,2016,3238327.0,61295538.0,48001516679.0,-0.17606177608761003,-0.09851136730854852,-0.06533841770526054,36060531060.96143
80,Corée,2017,3528974.0,63658688.0,50699786805.0,-0.17722549434869095,-0.1084769128933336,-0.05912398542374525,35876507809.15003
81,Corée,2018,3929316.0,66355778.0,52580039982.0,-0.17100086026871694,-0.11839619778228913,-0.05292700326177526,37220723150.6753
82,Danemark,2005,997781.0,5449206.0,6676920336.0,-0.28562421433467605,-0.2809172627910473,-0.3029701938854169,7494516823.337379
83,Danemark,2006,1023234.0,5828157.0,6811294430.0,-0.28301194120470957,-0.28348571747801193,-0.30141508156438857,8048555718.7416
84,Danemark,2007,1060779.0,6307606.0,8145954207.0,-0.27023755321356685,-0.28715825889388275,-0.30023429826193554,10689909404.339508
85,Danemark,2008,1077668.0,6556988.0,8124488683.0,-0.2642810751989867,-0.2912871950369708,-0.30024339820018764,11894453085.838402
86,Danemark,2009,1147966.0,6833683.0,7574983175.0,-0.2738585548907542,-0.29666831129972504,-0.30043353873032835,9873929361.60804
87,Danemark,2010,1012949.0,6980704.0,7224291222.0,-0.2808304633411293,-0.3015566187369918,-0.3007326944636343,8393480087.966919
88,Danemark,2011,974086.0,7173185.0,7348977093.0,-0.28281085077352036,-0.3031362017471788,-0.30042721587019844,7979401042.979301
89,Danemark,2012,1089748.0,7292756.0,6885134402.0,-0.2860448231251306,-0.3054955113211772,-0.3004622703914069,7294123317.572533
90,Danemark,2013,867767.0,7031152.0,6642360857.0,-0.2870969725663435,-0.30758955440212865,-0.30131777014855293,7045706757.011688
91,Danemark,2014,930744.0,7160233.0,7140226197.0,-0.2864991776611531,-0.30977513280631414,-0.30120060506017743,7157186425.133987
92,Danemark,2015,807317.0,7079249.0,5840651102.0,-0.2898939753733507,-0.31172443512915093,-0.30162328392913856,6433703306.752228
93,Danemark,2016,655064.0,6985035.0,5698931831.0,-0.2903036235908455,-0.3129088160012448,-0.3020343185582542,6332997402.228889
94,Danemark,2017,517189.0,7140859.00299,5742118958.0,-0.28681106088770714,-0.3139725302714885,-0.3016766980142837,7055444739.1634445
95,Danemark,2018,479031.0,7216215.0,6065548549.0,-0.2865820179244561,-0.3147951789896836,-0.3015681104792817,7099513718.11824
96,Espagne,2005,20713500.0,42693832.0,51089724575.0,-0.12026824309734661,-0.04618112450191488,-0.14719352616550327,46331416054.20587
97,Espagne,2006,20880959.0,45695061.0,52850385327.0,-0.1141274720507641,-0.04048721324802334,-0.13347035643498958,47910448369.273026
98,Espagne,2007,20764615.0,48422470.0,60567345110.0,-0.09176862253509294,-0.03587427246181496,-0.12184667129833628,52795544657.336395
99,Espagne,2008,20313019.0,49623339.0,64937852941.0,-0.09978715349242598,-0.030471110526413586,-0.11415160165147573,51324733389.605354
100,Espagne,2009,20865463.0,51052693.0,57261000263.0,-0.14770545728892434,-0.035144483220389544,-0.10931554475817828,41477404811.85445
101,Espagne,2010,19968892.0,51389417.0,53067766465.0,-0.1469729688104149,-0.03603036709351019,-0.10603215061894956,41687903620.48488
102,Espagne,2011,20369871.0,52590507.0,52709584566.0,-0.08206621863456559,-0.040149118558435996,-0.10194781845823384,55167203302.71242
103,Espagne,2012,17814804.0,50665099.0,45217820513.0,-0.16900311701594792,-0.04457814349666919,-0.10780792967583164,37039239492.4251
104,Espagne,2013,15749219.0,50158689.0,43715866667.0,-0.16899298171879626,-0.04725998196582996,-0.10774763784817981,37024748968.19913
105,Espagne,2014,14606340.0,50806251.0,43715866667.0,-0.1241585676240539,-0.04733314824297327,-0.10423701321632715,46367582823.41049
106,Espagne,2015,13449515.0,51067569.0,34245166667.0,-0.13933524471356393,-0.04423093471749546,-0.10101496381253731,43312504893.172935
107,Espagne,2016,12571076.0,51521507.0,36687422222.0,-0.1626874210418752,-0.0437880350410105,-0.09802157945439746,38544184018.39595
108,Espagne,2017,11680137.0,52506928.0,38502438202.0,-0.1673065051019167,-0.04440073570029975,-0.0946317820811925,37651625694.79446
109,Espagne,2018,11373906.0,54161014.0,40607600000.0,-0.13784108011567894,-0.045849678730851155,-0.08912656033531495,43845671604.726395
110,Estonie,2005,562000.0,1445300.0,11901800000.0,-0.31640160714546084,-0.31487465610023996,-0.32385355610696925,490619389.14489746
111,Estonie,2006,719000.0,1658700.0,13808275000.0,-0.31574828956419854,-0.3150242567670212,-0.32284620755866295,644664106.5019989
112,Estonie,2007,700000.0,1882776.0,15872191781.0,-0.31485188114939155,-0.31471005310670513,-0.3220892453541842,847120741.5950165
113,Estonie,2008,636531.0,1897365.0,16636098529.0,-0.31431344399165384,-0.31491993072764435,-0.32201164956899353,958637630.8063965
114,Estonie,2009,525166.0,1565409.0,15558452778.0,-0.3159651565807295,-0.3150734334080507,-0.32278347969757065,600718346.9307098
115,Estonie,2010,624009.0,1860038.0,14530746667.0,-0.31595918989446137,-0.31502155212219807,-0.32195157427764753,618729006.1227264
116,Estonie,2011,624893.0,1862674.0,1027761997.0,-0.31512740974963266,-0.31504254129296116,-0.32190610977353673,791541189.5077515
117,Estonie,2012,649214.0,2070547.0,936984615.0,-0.31421188670777295,-0.3157043340731292,-0.3215085870099043,984381815.730133
118,Estonie,2013,502845.0,2055234.0,863474667.0,-0.3150908665472078,-0.31607158821471626,-0.3215900127810042,798522392.6960449
119,Estonie,2014,428587.0,2062864.0,799835591.0,-0.31519748641644624,-0.31631007590667554,-0.32158757404085986,774935365.4622498
120,Estonie,2015,397576.0,1903545.0,684397580.0,-0.3156838762796183,-0.31650892364794525,-0.32202149926420454,664436450.4947815
121,Estonie,2016,358215.0,1897921.0,651318727.0,-0.31559757142291617,-0.31746704407655124,-0.3221870791638576,672666489.144104
122,Estonie,2017,337549.0,1904425.0,673229429.0,-0.3159810049141754,-0.3177436362697952,-0.322185560703013,591549942.9351959
123,Estonie,2018,337663.0,1924034.0,732233240.0,-0.3158585543176818,-0.3180511769248958,-0.3221608484971113,615328227.8293915
124,Finlande,2011,910000.0,8940000.0,5256944444.0,-0.2946095088794023,-0.3051484997556885,-0.2973991802897197,5585327986.117645
125,Finlande,2012,930000.0,9190000.0,4679487179.0,-0.2975601022547009,-0.307768624428129,-0.2970933227577486,4963672095.913757
126,Finlande,2013,790000.0,9200000.0,4660000000.0,-0.29691097172479325,-0.30969850120299114,-0.29734775291708737,5080125481.229446
127,Finlande,2014,770000.0,9280000.0,4586666667.0,-0.2955684517220591,-0.3112902973749577,-0.2973342193979736,5347540294.2274475
128,Finlande,2015,750000.0,9330000.0,3766666667.0,-0.2968470421789349,-0.3126567064783272,-0.2975426355923256,5069889796.109955
129,Finlande,2016,730000.0,9340000.0,3866666667.0,-0.2997238707356736,-0.31388224866382364,-0.29779435904784163,4461722990.817078
130,Finlande,2017,710000.0,9390000.0,3908988764.0,-0.29893013903627547,-0.31499509731502146,-0.29787826686634694,4616871446.815155
131,Finlande,2018,690000.0,9380000.0,4091764706.0,-0.291168596295879,-0.3157698653633238,-0.29798112161161155,6215174671.112434
132,France,2005,17561000.0,48088000.0,62156250000.0,-0.090527330131687,0.14603537704240027,-0.08355689197141765,55014520350.14194
133,France,2006,18102000.0,51662000.0,62275000000.0,-0.06631025097650786,0.12478705341049011,-0.06916178572360936,60167299317.98223
134,France,2007,19028000.0,55337000.0,70569863014.0,-0.07661421253013635,0.08449769214289948,-0.05929155745741189,57963817309.109375
135,France,2008,18736000.0,57994000.0,78985294118.0,-0.042371049956220375,0.05080298746215667,-0.05268707291481497,64954091647.24204
136,France,2009,18805000.0,61540000.0,73612500000.0,-0.08286665458153722,0.017691161914189363,-0.0439432692181982,56530814707.64909
137,France,2010,18626000.0,65030000.0,71377333333.0,-0.07257486152364288,-0.015354836523055818,-0.03685685335325629,58580581242.10436
138,France,2011,19560000.0,68570000.0,72633333333.0,-0.027135635651177426,-0.04546085786413769,-0.028991702558285412,67935446343.49994
139,France,2012,18244000.0,73114000.0,64293589744.0,-0.04584962698609844,-0.07557841620579338,-0.019096033982857887,64060285831.3743
140,France,2013,15665000.0,76800000.0,62929333333.0,-0.04044229984155735,-0.10075468706237017,-0.011366332060585215,65164578558.91279
141,France,2014,14517000.0,79932000.0,61737333333.0,-0.04847300821279308,-0.1223504166871391,-0.0042478607022704415,63500882914.19954
142,France,2015,12566000.0,82666000.0,51085555556.0,-0.06827416471046133,-0.1416178133731499,0.0018671976550962868,59398090792.55402
143,France,2016,11378000.0,84702000.0,50500000000.0,-0.03431519810339875,-0.15856201876290502,0.006320126035690693,66398119190.196556
144,France,2017,10261000.0,89488000.0,50611235955.0,-0.009683707709524843,-0.17431805396047545,0.01916748219686856,71642454818.30594
145,France,2018,9092013.0,93867215.0,52023529412.0,0.012545949477003151,-0.19250755107761275,0.028440543932171155,76303238491.61543
146,Grèce,2005,8338521.0,12448473.0,9798750000.0,-0.2926556628083611,-0.24257988031773306,-0.2798902819642164,6750099417.460472
147,Grèce,2006,9599333.0,13874674.0,10623750000.0,-0.2896349928237854,-0.24432448892220843,-0.2754110281822419,7451836492.854744
148,Grèce,2007,11471385.0,16226675.0,11797260274.0,-0.26754892974414335,-0.24563970698762283,-0.26774112546752526,12163110606.190758
